ID_REF	GSM1684095	GSM1684096	GSM1684097	GSM1684098	GSM1684099	GSM1684100	GSM1684101	GSM1684102	GSM1684103	GSM1684104
ILMN_1800182	92.3149	96.45432	96.21114	103.0657	109.0566	101.908	84.27603	99.77676	93.14693	117.967
ILMN_1800197	1333.199	1154.389	2079.504	1369.652	1881.641	1353.522	1578.384	1072.707	1315.325	731.3796
ILMN_1800220	124.4208	121.7227	106.643	96.49606	130.9052	118.7888	108.4143	102.2991	113.6846	105.8565
ILMN_1800221	143.4025	149.7419	105.7274	107.7974	130.2034	115.8951	119.5794	100.9478	105.0516	109.0594
ILMN_1800225	90.07665	94.4893	86.59149	91.50966	93.00782	106.0702	110.9843	101.1297	115.3481	113.3347
ILMN_1800227	131.1964	106.4783	108.9573	114.8174	112.3942	107.0827	99.56006	117.9403	99.91107	112.1335
ILMN_1800237	114.0529	109.0461	113.0739	105.3462	112.9091	115.1883	99.48406	107.249	113.0111	91.75563
ILMN_1800246	86.5581	81.34204	88.32412	79.83194	85.23041	79.76925	88.85115	89.26704	85.50984	87.29134
ILMN_1800253	127.1728	107.7188	110.8905	109.0122	126.9911	112.4565	118.5309	111.8338	125.0132	113.5627
ILMN_1800261	12954.36	11594.59	12297.12	10459.91	11205.56	10615.19	12086.68	10721.28	10964.97	9295.09
ILMN_1800262	123.5993	139.7492	133.2059	144.7783	104.3802	114.6429	96.2837	108.5738	97.08672	118.433
ILMN_1800267	110.7801	107.5209	110.6188	106.5023	116.0921	119.0599	118.2314	114.6378	129.4835	97.60245
ILMN_1800269	101.7468	113.5877	122.685	108.5748	112.4463	110.771	110.5079	98.44595	102.3915	96.65794
ILMN_1800270	92.55296	105.1775	104.2009	108.7035	115.8682	98.29025	94.23636	104.3568	91.4873	115.362
ILMN_1800276	1843.459	1123.65	1604.024	1301.559	947.6359	1167.043	1177.754	1121.565	1804.856	1592.314
ILMN_1800302	93.77714	96.33744	103.0275	92.76772	99.81942	106.6057	90.53462	104.2232	107.115	87.46844
ILMN_1800308	253.3549	235.5953	292.4261	328.9442	321.3142	337.3256	194.7329	201.3238	249.9666	278.2379
ILMN_1800311	178.2131	244.3269	169.7275	240.2674	191.1187	222.6796	204.7073	229.0622	178.5237	181.9117
ILMN_1800315	123.0683	114.3539	96.19362	117.0586	114.5739	107.7319	108.2148	115.9579	110.9834	108.9675
ILMN_1800317	86.57623	78.09796	87.53387	86.94936	85.19855	87.49149	99.57993	90.21383	94.23761	90.86993
ILMN_1800331	83.37622	91.85963	85.28452	106.319	97.53594	92.27728	97.46086	85.43202	79.92336	90.13477
ILMN_1800332	104.8468	100.8871	106.9033	99.87525	94.52184	96.30217	103.0924	98.03858	101.1799	95.97517
ILMN_1800341	138.2199	100.3858	138.8119	102.5215	144.9922	111.0906	123.0349	95.82877	125.945	129.648
ILMN_1800354	376.4036	448.111	496.8608	248.1211	1148.672	518.7012	679.1552	320.7983	407.2736	343.0098
ILMN_1800374	108.6729	114.8604	120.8991	110.0429	107.1485	107.2501	105.3919	107.2337	108.651	100.8172
ILMN_1800380	103.6018	101.6062	99.3179	111.6205	91.27685	98.01115	102.554	95.66457	102.2204	107.1185
