ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
ILMN_1728163	9.00e-01	5.04e-01	-0.6904343	-6.500628	-0.12378142	CTDSP1	CTD small phosphatase 1
ILMN_3229269	9.00e-01	5.04e-01	-0.6904106	-6.500645	-0.05277618		
ILMN_1852827	9.00e-01	5.04e-01	-0.6904091	-6.500646	-0.05368358		
ILMN_1652609	9.00e-01	5.04e-01	-0.6904017	-6.500651	-0.04265985		
ILMN_1698369	9.00e-01	5.04e-01	0.6903774	-6.500668	0.05691077		
ILMN_1676010	9.00e-01	5.04e-01	0.6902845	-6.500734	0.0898516	SP1	Sp1 transcription factor
ILMN_2328575	9.00e-01	5.04e-01	0.6902398	-6.500766	0.09316745	CLDN14	claudin 14
ILMN_1754752	9.00e-01	5.04e-01	0.690159	-6.500824	0.05093102	CNNM2	cyclin and CBS domain divalent metal cation transport mediator 2
ILMN_3245526	9.00e-01	5.04e-01	-0.6901086	-6.500859	-0.05724968		
ILMN_1655261	9.00e-01	5.04e-01	-0.6900524	-6.500899	-0.06082723	ERP27	endoplasmic reticulum protein 27
ILMN_1732375	9.00e-01	5.04e-01	0.6900081	-6.500931	0.04251389	EEFSEC	eukaryotic elongation factor, selenocysteine-tRNA specific
ILMN_1698472	9.00e-01	5.04e-01	-0.6900078	-6.500931	-0.08482981	KMT2C	lysine methyltransferase 2C
ILMN_3182102	9.00e-01	5.04e-01	0.6898466	-6.501046	0.04521107		
ILMN_1706273	9.00e-01	5.04e-01	-0.6898349	-6.501054	-0.08404235	MOB2	MOB kinase activator 2
ILMN_1709645	9.00e-01	5.04e-01	0.689821	-6.501064	0.06613015	CBX2	chromobox 2
ILMN_3235984	9.00e-01	5.04e-01	0.6898096	-6.501072	0.08340911		
ILMN_2197519	9.00e-01	5.04e-01	0.689741	-6.501121	0.11145046	ZNF627	zinc finger protein 627
ILMN_1887928	9.00e-01	5.04e-01	0.689726	-6.501131	0.0530298		
ILMN_1774476	9.00e-01	5.04e-01	-0.6897246	-6.501132	-0.05129976	TCTEX1D4	Tctex1 domain containing 4
ILMN_2341343	9.00e-01	5.04e-01	-0.6896075	-6.501215	-0.04761135	AGTR1	angiotensin II receptor type 1
ILMN_3237662	9.00e-01	5.04e-01	-0.6895854	-6.501231	-0.077123		
ILMN_2322552	9.00e-01	5.04e-01	-0.6895703	-6.501242	-0.04553407	NCKAP1	NCK associated protein 1
ILMN_3178238	9.00e-01	5.04e-01	-0.6895372	-6.501265	-0.06041465	EYS	eyes shut homolog (Drosophila)
ILMN_1665260	9.00e-01	5.04e-01	-0.6895273	-6.501272	-0.05010935		
ILMN_3187470	9.00e-01	5.04e-01	-0.6894531	-6.501325	-0.14194605	BTNL10	butyrophilin like 10
ILMN_1699991	9.00e-01	5.04e-01	0.6894526	-6.501325	0.05705163	LCK	LCK proto-oncogene, Src family tyrosine kinase
ILMN_1684006	9.00e-01	5.04e-01	-0.6894347	-6.501338	-0.04869624		
ILMN_2284157	9.00e-01	5.04e-01	0.6894335	-6.501339	0.04239624	CLDN18	claudin 18
ILMN_1740871	9.00e-01	5.04e-01	0.6893893	-6.50137	0.04627341	FGF5	fibroblast growth factor 5
ILMN_1715574	9.00e-01	5.04e-01	0.6893391	-6.501406	0.04622408	ZC3H11A	zinc finger CCCH-type containing 11A
ILMN_1724501	9.00e-01	5.04e-01	-0.6893051	-6.50143	-0.0394575		
ILMN_2291891	9.00e-01	5.05e-01	-0.6892297	-6.501484	-0.04431845	CFL2	cofilin 2
ILMN_2059996	9.00e-01	5.05e-01	0.6890828	-6.501588	0.0673071	MEGF8	multiple EGF like domains 8
ILMN_1661129	9.00e-01	5.05e-01	0.68907	-6.501597	0.03717363	PPP2R2C	protein phosphatase 2 regulatory subunit Bgamma
ILMN_1656413	9.00e-01	5.05e-01	-0.6890244	-6.501629	-0.14171532	ZMPSTE24	zinc metallopeptidase STE24
ILMN_3243307	9.00e-01	5.05e-01	-0.6889959	-6.50165	-0.0673302		
ILMN_1810264	9.00e-01	5.05e-01	-0.6889839	-6.501658	-0.04408782	MRC1	mannose receptor, C type 1
ILMN_1722851	9.00e-01	5.05e-01	-0.6889744	-6.501665	-0.05704187		
ILMN_3224126	9.00e-01	5.05e-01	0.6889518	-6.501681	0.05996081		
ILMN_1783815	9.00e-01	5.05e-01	-0.6889361	-6.501692	-0.063311	COG7	component of oligomeric golgi complex 7
ILMN_1846807	9.00e-01	5.05e-01	0.6889347	-6.501693	0.05161433		
ILMN_1702780	9.00e-01	5.05e-01	0.688932	-6.501695	0.05419768		
ILMN_1898692	9.00e-01	5.05e-01	-0.6889294	-6.501697	-0.04598598		
ILMN_1739914	9.00e-01	5.05e-01	0.6888709	-6.501738	0.10968036	ZNF618	zinc finger protein 618
ILMN_2367440	9.00e-01	5.05e-01	0.6888621	-6.501744	0.04831656	WDR17	WD repeat domain 17
ILMN_1784428	9.00e-01	5.05e-01	-0.6888492	-6.501754	-0.16980619	MGC57346	ADP-ribosylation factor pseudogene
ILMN_1767643	9.00e-01	5.05e-01	0.6888453	-6.501756	0.07522455	CTRB2	chymotrypsinogen B2
ILMN_1808078	9.00e-01	5.05e-01	-0.6887843	-6.5018	-0.05207698	ADGRG7	adhesion G protein-coupled receptor G7
ILMN_3240607	9.00e-01	5.05e-01	-0.6887281	-6.50184	-0.05113871	PRAMEF20	PRAME family member 20
ILMN_3307134	9.00e-01	5.05e-01	-0.6886587	-6.501889	-0.03913638		
ILMN_2413622	9.00e-01	5.05e-01	0.6886231	-6.501914	0.05458668		
